Name,Link to EDGAR Filing,Name in Dataset
Acacia_Communications_Cisco_Systems,https://www.sec.gov/Archives/edgar/data/1651235/000119312521008768/d110570dex21.htm,contract_0
Acceleron_Pharma_Inc_Merck_Co,https://www.sec.gov/Archives/edgar/data/1280600/000110465921120991/tm2128840d1_ex2-1.htm,contract_1
Adamas_Pharmaceuticals_Supernus_Pharmaceuticals,https://www.sec.gov/Archives/edgar/data/1328143/000110465921124979/tm2129361d1_ex2-1.htm,contract_2
"Aegion Corporation_New Mountain Capital, L.L.C.",https://www.sec.gov/Archives/edgar/data/353020/000094787121000230/ss192505_ex0201.htm,contract_3
"Alaska Communications Systems Group, Inc._Investment Group",https://www.sec.gov/Archives/edgar/data/1089511/000143774921000013/ex_219664.htm,contract_4
"Alexion Pharmaceuticals, Inc._Astrazeneca Plc",www.sec.gov/Archives/edgar/data/899866/000114036120028237/nc10017928x1_ex2-1.htm,contract_5
"Altabancorp_Glacier Bancorp, Inc.",https://www.sec.gov/Archives/edgar/data/1636286/000119312521166642/d758004dex21.htm,contract_6
American_Renal_Associates_Holdings_Irc_Superman_Midco,https://www.sec.gov/Archives/edgar/data/1498068/000114036120022321/nc10015594x7_ex2-1.htm,contract_7
Anworth Mortgage Asset Corporation_Ready Capital Corporation,https://www.sec.gov/Archives/edgar/data/1047884/000110465920133265/tm2037817d3_ex2-1.htm,contract_8
At Home Group Inc._Hellman_Friedman Llc (A&R),https://www.sec.gov/Archives/edgar/data/1646228/000110465921082148/tm2119645d6_ex2-1.htm,contract_9
"Bmc Stock Holdings, Inc._Builders Firstsource, Inc.",https://www.sec.gov/Archives/edgar/data/1316835/000119312520233278/d89165dex21.htm,contract_10
"Bank Of Commerce Holdings_Columbia Banking System, Inc.",https://www.sec.gov/Archives/edgar/data/887343/000119312521198112/d165081dex21.htm,contract_11
"Biotelemetry, Inc._Koninklijke Philips N.V.",https://www.sec.gov/Archives/edgar/data/1574774/000119312520323076/d18865dex21.htm,contract_12
"Boingo Wireless, Inc._Digital Colony Partners, Lp",https://www.sec.gov/Archives/edgar/data/1169988/000110465921029720/tm218232d1_ex2-1.htm,contract_13
"Boston Private Financial Holdings, Inc._Svb Financial Group",https://www.sec.gov/Archives/edgar/data/821127/000114036121000609/nc10018581x5_ex2-1.htm,contract_14
Wsfs Financial Corporation,https://www.sec.gov/Archives/edgar/data/828944/000155278121000105/e21111_ex2-1.htm,contract_15
"Cai International, Inc._Mitsubishi Hc Capital Inc.",https://www.sec.gov/Archives/edgar/data/1388430/000114036121021566/brhc10026007_ex2-1.htm,contract_16
First Citizens Bancshares,https://www.sec.gov/Archives/edgar/data/798941/000114036120023369/nc10015985x4_ex2-1.htm,contract_17
Cadence Bancorporation_Bancorpsouth Bank,https://www.sec.gov/Archives/edgar/data/1614184/000114036121013113/nc10023011x5_ex2-1.htm,contract_18
Cantel Medical Corp._Steris Plc,https://www.sec.gov/Archives/edgar/data/19446/000110465921003484/tm212717d3_ex2-1.htm,contract_19
Capstead_Mortgage_Corp_Benefit_Street_Partners,https://www.sec.gov/Archives/edgar/data/766701/000119312521223705/d182400dex21.htm,contract_20
"Century Bancorp, Inc._Eastern Bankshares, Inc.",https://www.sec.gov/Archives/edgar/data/1810546/000119312521109240/d134323dex21.htm,contract_21
"Change Healthcare Inc., Unitedhealth Group Incorporated",https://www.sec.gov/Archives/edgar/data/1756497/000119312521003258/d28897dex21.htm,contract_22
"Chiasma, Inc._Amryt Pharma Plc",https://www.sec.gov/Archives/edgar/data/1783010/000114036121015993/nc10024145x4_ex99-1.htm,contract_23
Cimarex Energy Co._Cabot Oil & Gas Corporation,https://www.sec.gov/Archives/edgar/data/1168054/000110465921070744/tm2117341d1_ex2-1.htm,contract_24
Cincinnati Bell Inc._Macquarie Infrastructure And Real Assets,https://www.sec.gov/Archives/edgar/data/716133/000095015720000363/ex2-1.htm,contract_25
"Cloudera, Inc._Investment Group",https://www.sec.gov/Archives/edgar/data/1535379/000119312521177699/d168575dex21.htm,contract_26
"Coherent, Inc",https://www.sec.gov/Archives/edgar/data/820318/000119312521095186/d130942dex21.htm ,contract_27
"Collectors Universe, Inc._Investment Group",https://www.sec.gov/Archives/edgar/data/1089143/000119312521011984/d111927dex99d10.htm,contract_28
Columbia_Property_Pacific_Investment_Management,https://www.sec.gov/Archives/edgar/data/1252849/000110465921113163/tm2127034d1_ex2-1.htm,contract_29
"Community Bankers Trust Corporation_United Bankshares, Inc.",https://www.sec.gov/Archives/edgar/data/729986/000119312521180597/d158023dex21.htm,contract_30
