xpaths,text,highlighted_xpaths,highlighted_segmented_text,tagged_sequence
/html/body/document/type,EX-2.1,,,o
/html/body/document/type/sequence,2,,,o
/html/body/document/type/sequence/filename,d165081dex21.htm,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b,AGREEMENT AND PLAN OF MERGER,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b,AGREEMENT AND PLAN OF MERGER,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,by and between,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,by and between,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,"COLUMBIA BANKING SYSTEM, INC.",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,"COLUMBIA BANKING SYSTEM, INC.",i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,AND,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,AND,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,BANK OF COMMERCE HOLDINGS,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,BANK OF COMMERCE HOLDINGS,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,"Dated as of June 23, 2021",/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,"Dated as of June 23, 2021",e_t
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b/u,TABLE OF CONTENTS,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b/u,TABLE OF CONTENTS,s_st
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[5]/b,Page,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[4]/td[1]/p,ARTICLE I MERGERS,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[4]/td[4],2,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[1]/p,1.1,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[3],The Merger,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[6]/td[6],2,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[1]/p,1.2,,,o
/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[3],Effective Time,,,o
